实例,算法,迭代次数,解,适应度值,开始时间,最快时间,结束时间,运行时间,最快最佳结果时间
Du62,模拟退火算法,5513,"[array([35, 17, 23, 27, 12, 55, 47, 48, 58]), array([ 9, 16, 42, 46, 45]), array([ 3, 52, 24, 53, 26]), array([14, 37, 44, 10]), array([51,  8, 39, 13, 22, 20, 49]), array([29,  5, 18, 32, 21, 57, 61, 41, 56, 38, 31]), array([40, 54, 36, 19, 50, 60, 33,  7,  4]), array([ 1, 62,  2, 11, 30, 28, 59]), array([43, 34,  6, 25, 15])]",4555833.732,52:50.2,52:54.1,52:55.8,5.576321,3.935758
Du62,模拟退火算法,5513,"[array([17, 52, 12,  4, 54, 26]), array([23, 13, 61, 19, 16, 51,  5, 55]), array([36, 41, 43, 50, 32, 47, 48, 58]), array([39,  8,  2, 44, 34]), array([49, 37, 56, 21, 46, 62]), array([22, 35, 45, 57, 10, 14]), array([60, 40, 30, 33, 24, 11, 29, 42]), array([59,  1, 27,  3, 18, 38, 20, 25, 53]), array([ 7, 31,  6, 28, 15,  9])]",4505743.575,52:55.8,53:00.6,53:01.2,5.455453,4.792467
Du62,模拟退火算法,5513,"[array([52, 31, 17,  7, 60, 15]), array([45, 43, 48, 34, 10, 13]), array([27, 22, 16, 57,  1, 23]), array([26, 14, 32,  5, 49, 56,  6]), array([40, 59,  2, 11, 46, 29]), array([55, 39, 41, 50, 42, 19, 20, 62, 24,  4]), array([47, 21, 44, 28, 38, 61]), array([ 8, 12, 30, 25, 58, 54, 37, 18]), array([35,  9, 51, 53, 33,  3, 36])]",4508049.561,53:01.2,53:05.3,53:06.8,5.519669,4.084963
Du62,模拟退火算法,5513,"[array([24, 34, 58, 26, 10, 55]), array([48,  4, 36,  3, 61, 50, 17]), array([59, 51, 28, 21, 57, 38, 52, 56, 31, 16,  8, 30]), array([29, 22, 49, 32, 47,  5, 41, 44, 23, 14]), array([33, 20, 18,  2, 46]), array([37, 25, 27, 54, 43, 42, 19]), array([60, 35,  9, 13, 53, 62]), array([40, 39, 11, 15,  7,  6,  1, 45, 12])]",4520449.228,53:06.8,53:08.9,53:12.3,5.557768,2.138223
Du62,模拟退火算法,5513,"[array([53, 45, 15, 51, 29, 26]), array([34, 57, 59, 28, 55, 47,  1, 49, 40]), array([46, 43, 31, 60, 16, 52, 50, 23, 37]), array([48, 56, 21, 61,  9,  5, 25]), array([11, 38, 14,  8, 33, 30]), array([58,  2, 62, 27, 20,  3, 54]), array([42, 41, 12, 24, 36, 13, 10]), array([17, 44,  4, 22, 35,  7, 32, 19, 18, 39,  6])]",4473343.418,53:12.3,53:15.3,53:17.8,5.507041,3.0083
Du62,模拟退火算法,5513,"[array([15, 27, 34, 24, 52, 39]), array([22,  8, 17, 61,  1, 53, 36, 42]), array([ 4, 58, 44, 26, 60, 18, 20,  6, 35]), array([23, 37, 49, 12, 56, 10, 11]), array([14, 43, 54, 30, 47,  3,  2]), array([13, 40, 48, 16, 28,  9, 29,  5, 50, 25]), array([ 7, 41, 32, 38, 51, 57, 33]), array([31, 19, 62, 45, 21, 59, 55, 46])]",4504784.835,53:17.8,53:19.5,53:23.4,5.531891,1.688802
Du62,模拟退火算法,5513,"[array([ 4, 29, 36, 61,  9]), array([ 6, 57, 28, 30, 38, 17]), array([19, 35,  3, 56, 46, 51]), array([10, 21, 42,  5, 44, 14]), array([20, 12, 16, 27, 55]), array([40, 22,  1, 50, 60,  7, 11, 59, 47, 54]), array([53, 52, 34, 13, 58, 48, 49, 37, 41,  8, 25]), array([43, 32, 18, 62, 23, 45, 39]), array([ 2, 15, 26, 24, 33, 31])]",4457935.1,53:23.4,53:25.1,53:29.0,5.621921,1.774395
Du62,模拟退火算法,5513,"[array([42, 39, 34, 15, 33]), array([47, 56,  6,  5, 27, 46, 51]), array([61, 57, 40, 36, 20, 26]), array([45, 16, 32,  8, 22, 60]), array([62, 17, 18,  3, 54, 58]), array([ 2, 29, 52, 30, 59, 21, 41, 10, 31, 49, 50, 35]), array([ 9, 37,  1, 48, 24, 25]), array([43, 13, 11, 19,  4, 38]), array([ 7, 53, 23, 12, 28, 55, 44, 14])]",4503674.099,53:29.0,53:32.5,53:34.6,5.575086,3.477271
Du62,模拟退火算法,5513,"[array([15, 17, 51,  8, 18, 60, 33]), array([ 9, 37, 30, 62, 19, 54]), array([42,  1, 38, 14, 48, 45, 10, 36]), array([11, 52, 22,  4, 61, 59]), array([26, 16, 40, 35, 47, 23, 21]), array([53, 28,  2, 56, 20, 57, 12, 27, 32]), array([34, 25, 44, 49,  5, 50, 29, 43]), array([46, 39, 13,  3, 55]), array([ 6,  7, 24, 58, 41, 31])]",4434481.583,53:34.6,53:38.1,53:40.1,5.537846,3.528394
Du62,模拟退火算法,5513,"[array([39, 51, 46,  6, 17, 31]), array([24, 56, 60, 15, 27,  1, 20]), array([19, 25,  5, 61, 44, 35, 36]), array([22, 21, 40, 30, 59, 29]), array([54, 13, 45, 49, 53, 41, 42]), array([14,  2, 28, 52,  4, 23, 43]), array([58, 32, 12, 16, 55, 18, 26, 11, 50]), array([ 9, 37, 34, 57, 47, 10, 48]), array([33,  3, 62,  7,  8, 38])]",4532011.332,53:40.1,53:44.8,53:45.7,5.591477,4.631137
,,,平均值,4499630.646,,,,,3.305971
,,,最大值,4555833.732,,,,,4.792467
,,,最小值,4434481.583,,,,,1.688802
,,,,,,,,,
Du62,模拟退火算法,5513,"[array([14, 48, 51, 33, 25, 50,  6]), array([23, 47,  4, 44, 60, 32, 35, 53]), array([27,  3, 24, 43, 17,  8]), array([41, 52, 46, 39, 30, 21]), array([56, 37, 36, 19, 34, 13]), array([10, 12, 11, 28, 16, 45, 62]), array([ 1, 31, 61, 58,  2, 20,  9, 49]), array([40, 59, 22, 38, 57,  7, 29]), array([15, 18, 55,  5, 42, 26, 54])]",4529867.448,54:14.3,54:18.9,54:19.9,5.550094,4.551032
Du62,模拟退火算法,5513,"[array([17, 48, 10, 24, 13, 49,  7]), array([33, 25, 61,  3, 57, 53, 42]), array([41, 36, 51, 59, 18, 21, 58]), array([14, 28, 62, 60, 46,  5, 11, 22]), array([30, 29, 37, 44, 20, 45, 47, 52]), array([ 4,  2, 16, 39, 27, 43, 56, 26,  9, 32]), array([19, 54,  1,  6, 55, 31, 15,  8, 50]), array([23, 35, 38, 40, 34, 12])]",4499991.292,54:19.9,54:22.7,54:25.5,5.554507,2.793105
Du62,模拟退火算法,5513,"[array([ 6, 48, 42, 37, 14,  9, 17, 32]), array([22,  2, 27,  4, 20, 19]), array([39, 11, 34, 21, 30, 28]), array([46, 10, 13, 44, 58, 61]), array([38,  5, 60, 52, 16, 53]), array([49, 62, 36, 29, 18, 51,  3, 15,  7, 35]), array([12, 41,  8, 55, 56, 24]), array([40, 26, 57, 31, 59, 54]), array([33, 43, 47, 23,  1, 45, 50, 25])]",4533732.232,54:25.5,54:26.4,54:31.1,5.6212,0.9415
Du62,模拟退火算法,5513,"[array([15, 25, 39,  5, 33, 62, 17, 42]), array([54,  8, 16, 43, 22, 20,  1, 52,  9]), array([12, 53,  3, 34, 50,  4, 24]), array([41, 38, 23, 55, 28, 11, 27]), array([61, 31, 35, 21, 18, 58, 19, 57, 32,  7]), array([49, 26, 29, 44, 51, 56]), array([14, 10,  2, 45, 46, 48]), array([13, 40, 30, 47, 59, 60, 37,  6, 36])]",4469733.61,54:31.1,54:35.6,54:36.8,5.682002,4.482334
Du62,模拟退火算法,5513,"[array([49, 47, 22, 41, 21,  9]), array([33, 10, 11, 62, 42, 38, 15]), array([31, 61, 26,  3, 43, 14]), array([59, 32, 20, 28, 58, 37, 17]), array([40, 27, 51,  8, 35, 56, 25, 50, 52, 13, 30]), array([46, 16, 29, 12,  2, 57,  6]), array([36, 39, 60, 18, 44, 23]), array([54,  5, 45, 19, 53,  7, 34]), array([55,  4,  1, 24, 48])]",4413815.809,54:36.8,54:40.7,54:42.5,5.686837,3.92825
Du62,模拟退火算法,5513,"[array([ 6, 54, 28, 12, 10, 17]), array([16, 52, 61, 35, 49, 46]), array([62, 57,  2, 34, 26, 40,  3]), array([13, 41, 11, 55, 50, 56, 60, 18, 38, 25]), array([ 7, 23,  1, 47,  4, 30]), array([20, 32, 59, 22, 21, 29]), array([33, 44, 14,  8, 43, 36, 19, 48, 51, 58]), array([24,  9, 53, 42, 15,  5, 37, 39, 31, 27, 45])]",4496857.547,54:42.5,54:46.1,54:48.1,5.59482,3.692058
Du62,模拟退火算法,5513,"[array([15,  7, 19, 40, 34, 54, 43, 45]), array([25, 58, 32, 29,  3, 30, 42, 44]), array([57, 31, 37, 24,  9, 12, 60, 55]), array([26, 35,  2, 16, 18, 61,  4, 23, 62]), array([38, 49, 28, 22,  1, 51]), array([ 6,  8, 46, 11, 21, 59]), array([17, 53, 56, 27, 36,  5, 41]), array([10, 33, 52, 14, 50, 47]), array([39, 20, 13, 48])]",4426934.133,54:48.1,54:48.9,54:53.8,5.710519,0.829275
Du62,模拟退火算法,5513,"[array([48, 54, 22, 12, 27, 46, 14]), array([37, 43,  5,  4, 11, 26,  1]), array([47, 33, 59, 39, 34, 50]), array([40, 24, 29, 60,  3, 35, 18, 57, 58]), array([44, 16, 20, 49, 51, 31]), array([17, 30, 56,  2, 52,  9, 61]), array([10,  8, 41, 55, 42,  6,  7]), array([32, 36, 23, 38, 15, 13]), array([25, 19, 62, 28, 21, 53, 45])]",4488673.154,54:53.8,54:55.7,54:59.4,5.63807,1.917491
Du62,模拟退火算法,5513,"[array([ 9, 18, 61, 24, 62,  7, 17, 38, 23, 39]), array([21, 36, 44, 40, 20,  4]), array([22, 35, 60, 52,  2, 29, 46]), array([28, 56, 16, 32, 19, 47]), array([ 1, 31, 59, 12, 45, 43, 11, 15]), array([ 6, 26, 30,  8, 37, 13, 48]), array([57, 42,  3, 51, 41, 54,  5]), array([25, 49, 50, 27, 55, 10]), array([33, 58, 14, 34, 53])]",4470563.178,54:59.4,55:03.4,55:05.0,5.553806,4.000597
Du62,模拟退火算法,5513,"[array([40, 48, 47, 20, 15, 42]), array([ 1, 18, 59, 27, 28, 54,  5,  8, 19]), array([36, 31, 52, 16, 34, 29, 62, 17]), array([11, 21, 57,  2, 44, 24]), array([13, 45,  3, 56, 12, 30,  7, 50, 39]), array([26, 46, 10, 53, 49, 60, 58, 55, 14]), array([51, 37, 33, 35, 25, 22, 32, 61]), array([ 9, 41, 23, 38, 43,  4,  6])]",4476215.782,55:05.0,55:05.6,55:10.6,5.668214,0.599761
,,,平均值,4480638.419,,,,,2.7735403
,,,最大值,4533732.232,,,,,4.551032
,,,最小值,4413815.809,,,,,0.599761
Du62,模拟退火算法,5513,"[array([14, 18, 27, 46, 25]), array([ 4, 42, 31, 60, 35]), array([23,  6, 62, 21, 12, 17, 26,  3, 28]), array([61, 36, 45, 44, 55, 57, 22]), array([48,  1, 52, 13, 37, 47, 29, 38]), array([2]), array([34]), array([ 7, 43]), array([32,  8,  5, 16, 11, 54]), array([53, 40, 33, 39, 56, 19]), array([24, 41]), array([20, 51]), array([30]), array([49]), array([15, 50,  9]), array([10, 58, 59])]",18794467964.51553,2025-03-28 10:58:49.438027,2025-03-28 10:58:56.265103,2025-03-28 10:58:58.554025,9.115998,6.827076,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([10]), array([11, 36, 35, 16, 34, 19, 30]), array([55]), array([41]), array([51, 47,  6, 52, 56, 58]), array([17, 29,  9, 24, 43]), array([12]), array([60]), array([22, 42, 62, 54, 15, 49, 50]), array([25]), array([18]), array([20,  7, 39, 26, 33,  8, 44, 23, 32, 46]), array([40, 53]), array([57, 27, 14]), array([4]), array([2]), array([61]), array([5]), array([38]), array([37]), array([48, 13, 28, 31,  3, 21, 59]), array([1]), array([45])]",30859094547.758976,2025-03-28 10:58:58.561552,2025-03-28 10:58:58.670946,2025-03-28 10:59:07.728536,9.166984,0.109394,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([53, 48, 25, 20, 21, 50, 11, 32,  3]), array([43]), array([62,  6, 26, 41]), array([10]), array([42, 28]), array([18]), array([1]), array([30, 58,  8]), array([40, 46, 14, 22, 51]), array([38]), array([47, 60, 27, 35, 36, 15, 16, 59,  9, 44]), array([33, 55, 37, 34, 61, 56, 24]), array([45,  7, 49,  5]), array([54, 17,  2, 29, 52, 31, 12, 57, 19]), array([4]), array([23]), array([39, 13])]",18256296087.94557,2025-03-28 10:59:07.732886,2025-03-28 10:59:11.138732,2025-03-28 10:59:16.673887,8.941001,3.405846,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([12, 31, 49, 14, 40, 53, 54]), array([52]), array([26,  5, 11, 37, 18, 42]), array([10, 21]), array([20]), array([51]), array([19,  8, 32, 36, 28,  4]), array([27]), array([35]), array([41, 23, 57, 22, 13]), array([30, 34, 59, 62, 43, 24, 56, 58, 15, 16, 48]), array([ 6,  3, 29, 60,  2, 38,  9, 50,  7, 44, 61, 46]), array([25, 39, 55, 17,  1]), array([33, 47, 45])]",5810545616.320202,2025-03-28 10:59:16.678064,2025-03-28 10:59:24.563838,2025-03-28 10:59:25.617559,8.939495,7.885774,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([14, 57, 30, 45, 26, 17]), array([ 8, 10, 37]), array([47, 31, 40,  9, 44, 55,  7, 49]), array([46]), array([32]), array([42]), array([50, 15,  2, 51]), array([ 1, 33, 39, 13, 38, 58]), array([62,  5, 34, 54, 21, 11, 20]), array([16, 23, 35,  3, 56, 48]), array([43]), array([18]), array([24]), array([41]), array([52, 28, 29, 22, 12, 25,  6, 27, 19, 36, 61,  4]), array([60, 53, 59])]",12658206418.105429,2025-03-28 10:59:25.621526,2025-03-28 10:59:33.138141,2025-03-28 10:59:34.936448,9.314922,7.516615,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([42, 30,  7, 36, 14, 32,  6]), array([37, 17, 34, 43, 31, 29]), array([11]), array([40]), array([50]), array([59,  5]), array([35]), array([15]), array([41]), array([18]), array([60]), array([48,  2, 28, 44, 55, 47, 19, 46]), array([62, 57, 27]), array([25]), array([16]), array([12, 56,  9, 22]), array([54,  8, 61, 38,  4]), array([21]), array([51, 58, 20, 53,  1, 13]), array([52, 45, 33, 39, 23, 49]), array([3]), array([10]), array([24]), array([26])]",34096295032.122696,2025-03-28 10:59:34.940470,2025-03-28 10:59:43.683583,2025-03-28 10:59:44.158407,9.217937,8.743113,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([46, 42, 31, 56, 27]), array([24, 48, 45,  5, 61,  9,  2]), array([41,  7, 50]), array([58]), array([38,  3]), array([37]), array([35,  1, 17, 59, 60,  8]), array([12, 52, 26]), array([54, 47, 25, 19]), array([62, 30, 21, 18, 20, 36, 55, 22]), array([40]), array([11, 43, 51, 33]), array([57]), array([10]), array([29, 32, 28, 34, 44, 23, 39]), array([49]), array([16,  4,  6, 15, 13, 14, 53])]",15556637352.655014,2025-03-28 10:59:44.162552,2025-03-28 10:59:52.015089,2025-03-28 10:59:53.237101,9.074549,7.852537,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([26, 12]), array([50, 45,  4, 24, 22]), array([ 1, 30, 28, 23, 35, 39]), array([42,  2, 31, 16, 21, 44, 49]), array([10]), array([9]), array([51,  6,  3, 55, 17]), array([41, 25, 36, 15, 20]), array([37, 13, 62, 46, 58, 47]), array([52]), array([57]), array([18, 48,  7, 14]), array([59]), array([ 5, 32, 54, 11,  8, 56, 29, 40, 60]), array([34, 61]), array([19, 38, 53, 43, 27, 33])]",4532733138.253349,2025-03-28 10:59:53.241668,2025-03-28 10:59:56.952492,2025-03-28 11:00:02.279071,9.037403,3.710824,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([23,  2, 54, 29]), array([47]), array([50]), array([60, 40, 58, 30, 56, 12, 37, 35]), array([43, 44,  4, 52, 62]), array([9]), array([46]), array([14, 11, 53,  3]), array([18]), array([16, 39,  1, 55, 13]), array([26]), array([32]), array([21]), array([59]), array([42,  8, 36, 22, 61, 33,  7, 51]), array([17, 27, 24, 10, 19, 25]), array([ 6, 48, 28]), array([49]), array([41, 38, 57, 34, 45, 20, 31]), array([15,  5])]",25973657808.21176,2025-03-28 11:00:02.283451,2025-03-28 11:00:04.302549,2025-03-28 11:00:11.572765,9.289314,2.019098,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([57,  4, 34, 59, 23, 62]), array([58]), array([ 6, 38, 39, 31, 51]), array([21]), array([42]), array([25]), array([ 3, 17]), array([43, 27]), array([11]), array([ 5, 41, 47, 19, 60,  7, 20, 61, 30, 55, 18, 44, 10]), array([53, 26,  2]), array([ 1, 46, 45, 35, 13]), array([ 8, 50, 37, 32, 56]), array([28]), array([54, 40, 12, 16, 29,  9]), array([33]), array([52]), array([14]), array([48, 49, 24, 36, 22, 15])]",25540156058.168556,2025-03-28 11:00:11.576903,2025-03-28 11:00:17.491749,2025-03-28 11:00:20.954767,9.377864,5.914846,取消修复动作算子-随机初始解
Du62,模拟退火算法,5513,"[array([24]), array([37, 10, 21]), array([22, 44]), array([47, 38, 46, 50, 13, 18, 19, 36, 57, 27, 28]), array([31, 11, 54, 35, 43, 39, 60, 25]), array([29, 58, 48, 30,  3,  2, 41,  8, 40, 26, 23]), array([53, 17, 42, 20,  4]), array([56, 34, 33, 49]), array([14,  6, 52, 32, 62, 55,  9]), array([15,  7, 12,  5, 51]), array([ 1, 45, 16, 61, 59])]",1069594131.0113477,2025-03-28 11:00:59.893771,2025-03-28 11:00:59.998293,2025-03-28 11:01:08.868756,8.974985,0.104522,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([50, 61, 32, 24, 29,  2, 35, 19, 12]), array([27,  3, 13]), array([ 5, 57, 60]), array([43, 58, 26,  9, 10]), array([37, 33, 22, 53, 54]), array([42, 49, 15, 34]), array([38, 17, 21, 47]), array([48, 39,  6, 14]), array([52]), array([56, 51]), array([20,  4, 18, 30, 41,  7,  1, 11, 31, 55, 23, 25]), array([28, 59,  8, 16, 40, 44, 62]), array([45, 46, 36])]",10890645815.378328,2025-03-28 11:01:08.873954,2025-03-28 11:01:08.951945,2025-03-28 11:01:18.068099,9.194145,0.077991,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([21, 51, 47, 15, 14, 42, 53, 19, 52,  5, 10]), array([38, 50, 17, 39,  3, 13, 49]), array([61, 59, 23,  8, 33]), array([45, 24, 57]), array([ 6, 28, 37, 34, 36, 56]), array([48, 11, 16, 30, 44, 32, 29,  9]), array([ 1, 18,  2, 43, 31, 26]), array([27,  7, 12, 46, 20]), array([25, 62, 22,  4]), array([54, 55, 40, 41]), array([60, 58, 35])]",1026773421.2687975,2025-03-28 11:01:18.072393,2025-03-28 11:01:18.158953,2025-03-28 11:01:27.083001,9.010608,0.08656,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([60, 23, 20, 61, 17, 19, 36, 26, 21, 33, 52, 56]), array([57, 30,  8, 16, 12, 38, 32]), array([53,  9, 48, 50,  5, 40,  7, 47]), array([15, 42, 25, 58]), array([22, 13, 34, 39, 35,  1]), array([29, 14, 41, 31, 51, 28,  2, 10, 45, 62]), array([37, 59, 46,  3, 18]), array([44, 11, 54, 55]), array([27,  6, 43,  4, 49, 24])]",318523918.87579125,2025-03-28 11:01:27.086923,2025-03-28 11:01:27.167954,2025-03-28 11:01:36.221802,9.134879,0.081031,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([34]), array([ 2, 61]), array([46]), array([9]), array([59]), array([21]), array([15, 36, 13, 62, 40]), array([42, 14, 57]), array([58]), array([3]), array([11, 25, 20, 27, 17]), array([32]), array([28, 38, 41, 50, 12, 43]), array([ 1, 51, 47, 26,  5, 54,  8, 22]), array([31, 33, 24, 55]), array([52]), array([56]), array([16]), array([ 4, 49, 35, 39, 30, 60, 45]), array([48]), array([37, 44, 23]), array([19,  6, 18,  7, 10, 53]), array([29])]",33954125067.84459,2025-03-28 11:01:36.225928,2025-03-28 11:01:37.023818,2025-03-28 11:01:45.519468,9.29354,0.79789,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[[56, 43, 40, 35, 32, 30, 28, 38, 11, 50], [21, 52, 2, 36, 16, 24, 18, 57, 44, 60, 12], [47, 42, 19, 26, 58, 51, 5, 49, 53, 31, 27, 1, 41, 61], [3, 4, 39, 34, 46, 20, 55, 59, 25, 29, 8], [22, 48, 13, 6, 10, 62, 7, 23, 14], [33, 17, 45, 15, 54, 37, 9]]",4754343.56796941,2025-03-28 11:01:45.523700,2025-03-28 11:01:45.616277,2025-03-28 11:01:54.738004,9.214304,0.092577,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[[32], [43, 28, 36, 11, 40, 50, 30, 18, 21, 57, 35, 56, 38, 2, 16, 60, 44], [19, 27, 26, 31, 12, 51, 52, 49, 47, 24, 58, 53], [29, 3, 1, 42, 59, 34, 61, 41, 5, 55], [25, 62, 46, 39, 4, 48, 20, 8, 6], [13, 7, 23, 10, 22, 14, 45], [33, 15, 37, 17, 54, 9]]",41749152.20902212,2025-03-28 11:01:54.741971,2025-03-28 11:01:54.815680,2025-03-28 11:02:03.845955,9.103984,0.073709,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[array([51, 56, 59, 30, 18, 57, 49,  3, 60, 48, 43,  4]), array([27, 19, 31, 17, 61, 25, 10, 14, 45, 39]), array([23, 62, 16, 37,  1,  8, 40, 54]), array([11,  7, 26, 35, 32, 24, 22]), array([34, 42, 21, 28, 55, 41]), array([ 5,  2, 38, 12, 13, 20]), array([36, 58, 46, 33, 15]), array([53, 44,  6, 50]), array([ 9, 47, 29, 52])]",130737959.73508088,2025-03-28 11:02:03.849818,2025-03-28 11:02:03.927207,2025-03-28 11:02:12.821871,8.972053,0.077389,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[[59, 30, 56, 2, 43, 36, 21, 60, 50, 40, 32, 11], [52, 24, 18, 35, 28, 44, 16, 38, 12], [49, 47, 19, 31, 58, 27, 26], [53, 5, 51, 41, 1, 42, 61], [55, 34, 3, 57, 29, 20], [39, 4, 25, 46, 8], [23, 48, 62, 6, 22], [7, 10, 13, 14], [45, 54, 37, 17], [15, 33, 9]]",4610464.637016488,2025-03-28 11:02:12.826002,2025-03-28 11:02:12.900676,2025-03-28 11:02:21.919374,9.093372,0.074674,取消修复动作算子-K分初始解
Du62,模拟退火算法,5513,"[[32, 40, 30, 21, 43, 60, 56, 50, 2, 36, 57, 11], [20, 16, 35, 52, 28, 44, 38, 18, 12], [19, 49, 47, 58, 27, 31, 26], [42, 5, 53, 41, 1, 51, 61], [55, 29, 34, 59, 3, 24], [46, 4, 25, 39, 8], [62, 23, 6, 48, 22], [13, 10, 7, 14], [37, 45, 54, 17], [15, 33, 9]]",4604322.56918709,2025-03-28 11:02:21.923267,2025-03-28 11:02:22.013670,2025-03-28 11:02:30.977935,9.054668,0.090403,取消修复动作算子-K分初始解
